timestamp,question,score,relevant,answered
2026-06-23 19:52:41.291433,How does Media Shippers help content owners?,0.7188937,YES,YES
2026-06-23 19:52:58.154739,How do I add subtitles?,0.456825,YES,NO
2026-06-23 19:53:14.000996,Who is the Prime Minister of India?,0.35179847,NO,NO
2026-06-24 10:55:50.291639,how do i add subtitle,0.48707318,YES,NO
2026-06-24 10:56:28.849211,how do i add subtitles?,0.456825,YES,NO
2026-06-24 10:57:26.449325,how does mediashipper help owners?,0.55094415,YES,YES
2026-06-26 11:04:01.381957,who is the president of india?,0.35101688,NO,NO
2026-06-26 11:04:55.664797,what image types are supported in posters and banners?,0.49983466,YES,NO
2026-06-26 11:06:53.019719,where can i buy movie posters?,0.44764206,NO,NO
2026-06-30 11:02:31.642035,how do i reach pune?,0.37165254,NO,NO
2026-06-30 11:03:17.983190,how do i add thumbnail?,0.37243962,NO,NO
2026-06-30 11:04:07.021981,what image types are supported in posters and banners?,0.49983466,YES,NO
2026-06-30 11:05:10.070543,how is the mediashipper is helpful for the owners?,0.55524844,YES,YES
2026-07-01 14:42:33.278722,Can i recover deleted title?,0.4355188,NO,NO
